40	34																																
15	15	15	15	15	15	15	15	4	4	4	4	4	4	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	4	4	4	4	4	4	4	4	4	4	4	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	4	4	4	4	4	4	4	4	4	4	4	4	8	8	8	8	8	15	15	15	15	15	15	15	15	15	15	15	15
15	15	15	15	4	4	4	4	4	4	4	4	4	4	4	8	8	15	15	15	15	15	8	15	15	15	15	15	15	15	15	15	15	15
15	15	15	4	4	4	4	4	4	4	4	4	4	4	8	15	15	15	15	15	15	15	15	8	15	15	15	15	15	15	15	15	15	15
15	8	4	4	4	4	4	4	4	4	4	4	8	8	15	15	15	15	15	15	15	15	15	15	8	15	15	15	15	15	15	15	15	15
8	15	15	4	4	15	4	4	4	4	8	8	15	15	15	15	15	15	15	15	15	15	15	15	8	15	15	15	15	15	15	15	15	15
8	15	15	15	15	15	4	4	4	8	15	15	15	15	15	15	8	8	8	8	8	8	8	8	15	15	15	15	15	15	15	15	15	15
8	15	15	15	15	4	4	4	8	15	15	15	15	15	15	8	15	15	15	15	0	15	15	8	15	15	15	15	15	15	15	15	15	15
15	8	15	15	15	4	4	8	15	15	15	15	15	8	8	15	0	15	15	15	0	0	15	15	8	15	15	15	15	15	15	15	15	15
15	15	8	8	4	4	8	15	15	15	15	8	8	15	15	15	0	0	15	15	15	15	15	15	8	15	15	15	15	15	15	15	15	15
15	15	15	15	15	8	15	15	15	15	8	15	15	15	15	15	15	15	15	0	0	0	0	15	8	15	15	15	15	15	15	15	15	15
15	15	15	15	8	15	15	15	8	8	15	15	15	15	15	15	15	15	0	6	6	6	6	0	0	0	15	15	15	15	15	15	15	15
15	15	15	15	8	15	15	8	15	15	15	15	15	15	15	8	15	15	0	6	6	0	0	0	8	15	15	15	15	15	15	15	15	15
15	15	15	15	15	8	8	15	15	15	15	15	15	15	8	8	15	15	15	0	0	8	15	8	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	8	15	15	15	15	15	15	15	15	15	8	15	15	15	8	15		8	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	8	15	15	15	15	15	15	15	15	15	8	8	8	15	15	8	15	8	15	0	15	15	15	15	15	15	15
15	15	15	15	15	15	15	0	0	15	15	15	15	15	15	15	15	15	15	15	15	8	15	15	15	0	2	0	15	15	15	15	15	15
15	15	15	15	15	15	0	2	2	0	15	15	0	0	0	0	0	0	0	0	0	15	15	15	0	2	2	0	15	15	15	15	15	15
15	15	15	15	15	15	0	2	2	4	0	0	4	4	4	0	2	2	2	2	0	0	0	0	2	2	2	0	15	15	15	15	15	15
15	15	15	15	15	15	0	2	2	4	4	0	4	4	0	4	2	0	0	0	4	4	4	2	2	0	0	2	0	15	15	15	15	15
15	15	15	15	15	15	0	2	4	4	0	4	4	0	4	4	0	2	0	4	4	4	4	4	0	2	2	2	0	15	15	15	15	15
15	15	15	15	15	15	0	2	4	4	0	4	4	4	4	0	2	2	2	0	4	4	4	4	4	2	2	0	0	15	4	4	15	15
15	15	4	4	15	4	0	0	0	4	0	2	2	2	2	0	2	2	2	0	4	4	4	0	0	0	0	8	15	4	4	4	4	15
15	4	4	4	4	4	4	15	15	0	2	2	2	2	2	0	0	0	0	0	0	0	0	15	15	15	15	15	8	4	4	4	4	4
15	4	4	4	4	4	4	4	15	0	2	2	2	2	2	0	15	15	15	15	15	15	15	15	15	15	15	15	8	4	4	4	4	4
15	4	4	4	4	4	4	4	0	2	2	2	2	2	2	0	15	15	15	15	15	15	4	4	15	15	15	15	15	8	4	4	4	4
15	15	4	4	4	4	4	4	0	2	2	2	2	2	2	0	15	15	15	15	15	4	4	4	4	15	15	15	15	8	4	4	4	4
15	15	15	4	4	4	4	4	0	2	2	2	2	2	2	0	15	15	15	15	15	15	4	4	15	15	15	15	15	8	4	4	4	15
15	15	15	15	4	4	4	0	4	4	4	4	4	4	4	0	15	15	15	15	15	15	15	15	15	15	15	15	15	8	4	4	15	15
15	15	15	15	15	15	0	4	4	4	4	4	4	4	4	0	15	15	15	15	15	15	2	2	15	15	15	15	15	8	15	15	15	15
15	15	15	15	15	0	4	4	4	4	4	4	4	4	4	0	15	15	15	15	15	2	2	2	2	15	15	15	15	8	15	15	15	15
15	15	15	15	0	0	0	0	0	4	4	4	4	4	4	0	15	15	15	15	15	2	2	2	2	15	15	15	15	8	15	15	15	15
15	15	15	15	15	8	15	15	15	0	0	4	4	4	0	15	15	15	15	15	15	15	2	2	15	15	15	15	8	15	15	15	15	15
15	15	15	15	15	8	15	15	15	15	15	0	4	4	0	15	15	15	15	15	15	15	15	15	15	15	15	15	8	15	15	15	15	15
15	15	15	15	15	15	8	15	15	15	15	15	0	0	15	15	15	15	15	15	4	4	15	15	15	15	15	8	15	15	15	15	15	15
15	15	15	15	15	15	15	8	15	15	15	15	15	15	15	15	15	15	15	4	4	4	4	15	15	15	8	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	8	15	15	15	15	15	15	15	15	15	15	4	4	4	4	15	15	8	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	8	15	15	15	15	15	15	15	15	15	15	4	4	15	15	8	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	8	8	8	8	8	8	8	8	8	8	8	8	8	8	15	15	15	15	15	15	15	15	15	15
