	16	16														
	15	15	15	15	15	15	0	0	0	0	15	15	15	15	15	15
	15	15	15	15	0	0	6	6	6	6	0	0	15	15	15	15
	15	15	15	0	15	6	6	6	6	0	0	6	0	15	15	15
	15	15	0	15	0	0	6	6	0	6	6	0	6	0	15	15
	15	0	15	6	6	6	0	6	6	6	6	6	6	6	0	15
	15	0	6	6	0	6	6	6	6	0	6	6	6	6	0	15
	0	6	6	6	0	6	6	6	6	0	6	6	6	6	6	0
	0	6	6	6	0	6	6	6	6	0	6	6	6	6	6	0
	0	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0
	0	6	6	6	6	0	0	0	0	6	6	6	6	6	6	0
	15	0	6	6	6	6	6	6	6	6	6	6	6	6	0	15
	15	0	6	0	0	6	6	6	6	6	6	6	6	6	0	15
	15	15	0	6	6	0	0	0	0	12	6	6	6	0	15	15
	15	15	0	6	6	6	6	6	6	0	6	6	0	15	15	15
	15	15	0	6	6	6	6	6	0	6	0	0	15	15	15	15
	15	15	15	0	0	0	0	0	0	0	15	15	15	15	15	15
