18	17															
15	15	15	15	15	15	0	0	0	0	0	15	15	15	15	15	15
15	15	15	15	0	0	14	14	14	14	14	0	0	15	15	15	15
15	15	15	0	14	14	6	6	6	6	6	14	14	0	15	15	15
15	15	0	14	6	6	6	6	6	6	6	6	6	6	0	15	15
15	0	6	0	0	0	0	6	6	6	0	0	0	0	6	0	15
15	0	0	15	3	3	3	0	0	0	15	3	3	3	0	0	15
0	6	0	1	15	1	1	0	6	0	1	15	1	1	0	6	0
0	6	0	1	1	15	1	0	6	0	1	1	15	1	0	6	0
0	6	6	0	0	0	0	6	6	6	0	0	0	0	6	6	0
0	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0
0	6	6	6	6	4	4	4	4	4	4	4	6	6	6	6	0
15	0	6	6	4	6	6	6	6	6	6	6	4	6	6	0	15
15	0	6	6	6	6	6	12	12	12	6	6	6	6	6	0	15
15	15	0	14	6	6	6	6	6	6	6	6	6	14	0	15	15
15	15	15	0	14	14	6	6	6	6	6	14	14	0	15	15	15
15	15	15	15	0	0	14	14	14	14	14	0	0	15	15	15	15
15	15	15	15	15	15	0	0	0	0	0	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
