16	16														
15	15	15	15	15	6	6	6	6	6	6	15	15	15	15	15
15	15	15	6	6	6	6	6	6	6	6	6	6	15	15	15
15	15	6	6	6	6	6	6	6	6	6	6	6	6	15	15
15	6	6	6	6	6	6	6	6	6	6	6	6	6	6	15
15	6	6	6	6	6	6	6	6	6	6	6	6	6	6	15
6	6	6	0	0	0	6	6	6	6	0	0	0	6	6	6
6	6	0	11	3	11	0	6	6	0	11	3	11	0	6	6
6	6	6	3	11	3	6	6	6	6	3	11	3	6	6	6
6	6	6	11	3	11	6	6	6	6	11	3	11	6	6	6
6	6	6	3	11	3	6	15	15	6	3	11	3	6	6	6
15	6	6	11	3	11	15	15	15	15	11	3	11	6	6	15
15	6	6	3	11	3	0	0	0	0	3	11	3	6	6	15
15	15	6	11	3	11	0	0	0	0	11	3	11	6	15	15
15	15	15	3	11	3	6	0	0	6	3	11	3	15	15	15
15	15	15	15	15	11	6	6	6	6	11	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
