40	27																									
15	15	15	15	15	15	15	15	15	15	15	15	15	0	15	15	15	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	15	0	14	0	15	15	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	0	14	14	14	0	15	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	0	0	0	0	14	14	14	0	0	0	0	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	0	6	14	14	0	14	0	14	14	6	0	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	0	6	14	0	14	0	14	6	0	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	0	6	14	14	14	6	0	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	0	6	6	6	6	6	0	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	0	6	6	0	0	0	6	6	0	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	0	6	0	10	10	10	0	6	0	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	0	0	10	10	10	10	10	0	0	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	0	10	10	10	10	10	10	10	10	10	0	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	0	10	10	10	10	10	10	10	10	10	10	10	0	15	15	15	15	15	15	15
15	15	15	15	15	15	0	2	10	10	10	10	10	10	10	10	10	10	10	2	0	15	15	15	15	15	15
15	15	15	15	15	0	2	10	10	10	10	15	4	10	10	10	10	10	10	10	2	0	15	15	15	15	15
15	15	15	15	15	0	2	2	2	10	10	4	4	10	10	15	14	10	2	2	2	0	15	15	15	15	15
15	15	15	15	15	15	0	10	10	10	10	10	10	10	10	14	14	10	10	10	0	15	15	15	15	15	15
15	15	15	15	15	15	0	10	10	10	10	10	10	10	10	10	10	10	10	10	0	15	15	15	15	15	15
15	15	15	15	15	0	10	10	15	13	10	10	10	10	10	10	10	10	10	10	10	0	15	15	15	15	15
15	15	15	15	0	2	10	10	13	13	10	10	10	10	10	10	10	10	15	11	10	2	0	15	15	15	15
15	15	15	0	2	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	10	10	2	0	15	15	15
15	15	15	0	2	2	2	10	10	10	10	10	10	15	6	10	10	10	10	10	2	2	2	0	15	15	15
15	15	15	15	0	10	10	10	10	10	10	10	10	6	6	10	10	10	10	10	10	10	0	15	15	15	15
15	15	15	15	0	10	10	10	0	0	10	10	10	10	10	10	10	0	0	10	10	10	0	15	15	15	15
15	15	15	0	10	10	10	0	10	0	0	10	10	10	10	10	0	10	0	0	10	10	10	0	15	15	15
15	15	0	10	10	10	10	0	0	0	0	10	10	10	10	10	0	0	0	0	10	10	10	10	0	15	15
15	0	10	10	10	10	10	10	0	0	10	10	10	10	10	10	10	0	0	10	10	10	10	10	10	0	15
15	0	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	15	13	2	2	2	0	15
15	15	0	0	10	15	11	10	10	10	0	10	10	0	10	10	0	10	10	10	13	13	10	0	0	15	15
15	15	0	2	10	11	11	10	10	10	10	0	0	10	0	0	10	10	10	10	10	10	10	2	0	15	15
15	0	2	2	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	2	2	0	15
0	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10	10	15	4	10	10	10	10	2	2	2	0
0	2	2	2	2	10	10	10	10	15	14	10	10	10	10	10	10	4	4	10	10	10	2	2	2	2	0
0	2	2	2	2	2	2	2	2	14	14	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
15	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	15
15	15	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	15	15
15	15	15	15	15	15	15	15	15	0	0	0	0	0	0	0	0	0	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	0	6	6	6	6	6	6	6	0	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	0	6	6	6	6	6	6	6	0	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	0	0	0	0	0	0	0	15	15	15	15	15	15	15	15	15	15
