20	19																	
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	0	0	0	0	0	0	0	0	0	15	15	15	15	15
15	15	15	0	0	4	4	4	4	4	4	4	4	4	0	0	15	15	15
15	15	0	4	4	4	4	4	4	4	4	4	4	4	4	4	0	0	15
15	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	15
15	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	15
0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	15
0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	4	0	15
0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	4	0	15
0	4	4	4	15	15	15	15	15	15	15	15	4	4	4	0	4	0	15
0	7	15	15	15	15	15	15	15	15	15	15	15	15	15	0	7	15	0
0	7	15	15	0	0	0	0	0	0	0	0	15	15	15	0	7	15	0
15	0	0	0	14	14	0	14	14	0	14	14	0	0	0	15	0	0	15
15	15	0	14	14	14	0	14	14	0	14	14	14	0	15	15	15	15	15
15	15	0	14	14	14	15	15	15	15	14	14	14	0	15	15	15	15	15
15	15	15	0	14	7	15	14	14	15	7	14	0	15	15	15	15	15	15
15	15	15	15	0	7	15	15	15	15	7	0	15	15	15	15	15	15	15
15	15	15	15	15	7	15	15	15	15	7	15	15	15	15	15	15	15	15
15	15	15	15	15	15	7	15	15	7	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	7	7	15	15	15	15	15	15	15	15	15	15
