18	20																		
15	15	0	0	0	15	15	15	15	15	15	15	15	15	15	0	0	0	15	15
15	0	0	0	0	0	15	0	0	0	0	0	0	15	0	0	0	0	0	15
0	0	0	0	0	0	0	15	15	15	15	15	15	0	0	0	0	0	0	0
0	0	0	0	0	15	15	15	15	15	15	15	15	15	15	0	0	0	0	0
0	0	0	0	15	15	15	15	15	15	15	15	15	15	15	15	0	0	0	0
15	0	0	0	15	15	15	15	15	15	15	15	15	15	15	15	0	0	0	15
15	15	0	15	15	0	0	0	15	15	15	15	0	0	0	15	15	0	15	15
15	15	0	15	0	0	15	0	15	0	0	15	0	15	0	0	15	0	15	15
15	15	0	15	0	0	15	0	15	0	0	15	0	15	0	0	15	0	15	15
15	15	0	15	0	0	0	15	15	15	15	15	15	0	0	0	15	0	15	15
15	15	0	15	0	0	15	15	15	15	15	15	15	15	0	0	15	0	15	15
15	15	0	15	15	15	0	0	0	0	0	0	0	0	15	15	15	0	15	15
15	15	15	0	0	0	8	8	0	8	8	0	8	8	0	0	0	15	15	15
15	15	15	15	0	8	14	14	0	14	14	0	14	14	8	0	15	15	15	15
15	15	15	15	0	14	14	14	14	14	14	14	14	14	14	0	15	15	15	15
15	15	15	15	15	0	14	14	14	14	14	14	14	14	0	15	15	15	15	15
15	15	15	15	15	15	0	0	0	0	0	0	0	0	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
